Time	Она много раз читала эту книгу, но никогда - до конца	При выборе языков много студентов записалось на французский, немецкий, но никто не на хинди	Я считаю его не дураком	Кого-то из этих людей я не знал	Кому-то из них 15 лет, кому-то 30, но никому - 20.	Кого-нибудь из этих людей я не знал	Я не считаю его не умным	Кому-то из них 15 лет, кому-то 30, но никому не 20	При выборе языков многие студенты записывались на французский, немецкий, но никто - на хинди	Она много раз читала эту книгу, но никогда не до конца
30.05.2019 13:28:50	3	2	4	4	4	2	4	2	5	2
30.05.2019 13:32:22	4	1	4	4	2	1	2	4	5	3
30.05.2019 13:47:54	4	1	4	5	5	4	5	3	5	1
30.05.2019 13:49:48	2	4	3	5	3	5	3	4	5	4
30.05.2019 13:50:54	4	1	1	5	5	1	1	1	5	1
30.05.2019 14:01:13	4	2	3	3	3	3	3	3	4	2
30.05.2019 14:01:46	1	1	3	5	3	2	4	1	3	3
30.05.2019 14:02:17	2	1	3	1	2	1	2	1	2	2
30.05.2019 14:02:57	5	1	1	4	3	1	2	5	3	2
30.05.2019 14:03:55	2	2	2	5	2	2	2	3	2	2
30.05.2019 14:05:12	4	2	3	5	5	1	2	4	5	2
30.05.2019 14:10:53	1	1	2	5	2	3	5	2	4	1
30.05.2019 14:11:28	1	1	4	4	3	2	2	2	4	4
30.05.2019 14:16:06	2	5	3	5	3	3	2	4	3	4
30.05.2019 14:17:46	4	1	3	5	4	1	5	3	5	3
30.05.2019 14:18:26	1	1	1	5	2	1	1	3	3	1
30.05.2019 14:19:34	4	2	2	5	3	1	1	1	3	1
30.05.2019 14:19:45	1	1	2	4	3	2	2	3	4	1
30.05.2019 14:20:03	2	2	4	5	3	2	4	5	5	2
30.05.2019 14:22:41	5	5	2	5	4	3	3	2	5	2
30.05.2019 14:23:58	3	4	4	4	3	3	3	2	2	2
30.05.2019 14:25:20	4	1	2	5	5	1	4	5	5	1
30.05.2019 14:28:20	2	1	1	4	3	1	1	3	4	1
30.05.2019 14:30:58	5	2	1	3	5	3	3	1	5	1
30.05.2019 14:31:48	5	5	5	5	5	1	1	3	5	4
30.05.2019 14:37:08	3	1	2	3	2	2	2	2	2	2
30.05.2019 15:00:29	2	1	1	4	4	2	3	3	3	1
30.05.2019 15:07:01	3	2	1	5	4	1	3	2	5	3
30.05.2019 15:10:14	5	5	5	5	5	3	5	3	5	5
30.05.2019 15:10:49	2	1	2	3	1	2	4	3	3	2
30.05.2019 15:16:49	3	2	4	5	3	2	5	4	3	3
30.05.2019 15:26:17	4	2	2	2	2	2	2	2	2	3
30.05.2019 15:32:42	5	2	4	4	3	1	1	3	5	1
30.05.2019 15:41:20	3	1	3	5	4	1	1	1	1	1
30.05.2019 15:56:50	1	2	3	3	2	2	2	3	4	2
30.05.2019 16:00:40	3	1	1	5	2	1	3	3	3	3
30.05.2019 16:24:35	3	1	4	5	5	4	4	4	5	1
30.05.2019 16:33:59	2	1	2	4	3	2	3	4	5	1
30.05.2019 16:44:28	3	3	1	3	5	1	3	4	5	4
30.05.2019 17:11:59	3	1	2	5	2	2	1	5	5	2
30.05.2019 17:30:57	4	2	3	5	4	3	3	3	4	2
30.05.2019 17:39:32	2	1	1	4	2	2	2	3	3	2
30.05.2019 17:54:07	5	2	3	5	5	3	2	2	5	2
30.05.2019 18:27:02	1	2	2	5	3	1	2	4	5	2
30.05.2019 18:30:45	5	1	2	5	5	4	4	2	5	1
30.05.2019 18:58:27	3	4	2	2	3	2	2	2	3	4
30.05.2019 19:14:58	4	1	1	4	3	1	2	1	4	1
30.05.2019 19:18:55	2	2	2	5	3	3	4	2	2	2
30.05.2019 20:25:29	5	1	1	5	3	1	3	1	1	1
30.05.2019 20:44:28	1	1	4	5	1	1	1	2	3	1
