Time	Вона багато разiв читала цю книгу, але нiколи - до кiнця	При виборі мов багато студентів записувалися на французьку, німецьку, але ніхто не на хінді	Я вважаю його не дурнем	Когось iз цих людей я не знав	Комусь iз них 15 рокiв, комусь 30, але нiкому - 20	Кого-небудь iз цих людей я не знав	Я не вважаю його не розумним	Комусь iз них 15 рокiв, комусь 30, але нiкому не 20"	При виборі мов багато студентів записувалися на французьку, німецьку, але ніхто - на хінді	Вона багато разiв читала цю книгу, але нiколи не до кiнця
01.06.2019 8:47:16	9	0	6	6	12	0	3	6	12	6
01.06.2019 11:44:51	0	0	6	6	0	0	9	0	0	0
01.06.2019 12:33:22	12	0	12	9	6	3	3	3	3	3
01.06.2019 12:57:57	6	0	0	0	3	0	3	3	12	0
01.06.2019 14:06:49	3	6	6	6	0	0	3	9	9	6
01.06.2019 14:29:35	12	0	0	0	9	0	9	0	0	0
01.06.2019 15:16:15	9	0	9	0	3	9	12	3	12	0
01.06.2019 17:17:43	9	0	6	9	3	12	3	0	9	0
01.06.2019 17:26:16	6	9	6	9	9	6	6	9	12	9
01.06.2019 20:17:25	9	3	6	9	9	3	12	9	9	9
